x	Curve1
45,8822	1,24755
46,4976	1,25121
47,0886	1,24725
47,7041	1,24328
48,2949	1,24694
48,8857	1,2506
49,5012	1,25044
50,1165	1,25791
50,8057	1,26536
51,4211	1,26902
52,0118	1,2803
52,9963	1,29911
53,5869	1,31421
53,6361	1,3142
54,2267	1,32929
54,7928	1,33677
55,4082	1,34424
55,999	1,3479
56,5896	1,35919
57,1804	1,36666
57,7711	1,37795
58,3617	1,38923
58,9523	1,40433
59,5429	1,41943
60,0106	1,42694
60,626	1,43059
61,2167	1,44188
61,8321	1,44553
62,4475	1,44919
64,8102	1,49052
65,401	1,49799
65,967	1,50928
66,5577	1,52057
67,173	1,52804
67,7638	1,5317
68,3791	1,54298
68,9946	1,54282
69,5853	1,5503
70,2746	1,55774
70,89	1,55759
71,1607	1,56514
71,7761	1,5688
72,3915	1,57245
72,5392	1,57623
73,1545	1,5837
73,77	1,58354
74,1145	1,59489
74,7299	1,59854
75,3454	1,59839
75,9609	1,59823
76,2562	1,60197
76,8717	1,60562
77,4871	1,60928
78,1025	1,60912
78,718	1,60897
79,3088	1,61263
79,8751	1,61248
80,4905	1,61233
81,106	1,61598
81,6967	1,61965
82,2875	1,62331
82,9028	1,63459
83,4936	1,63825
84,0597	1,64954
