######################################################################
## Data collected by a candy community on whether kinder eggs contain
## a figure in relation to the egg's weight and rattling noise.
## See http://staff.math.su.se/hoehle/blog/2016/12/23/surprise.html
## for details about the data - note also that the R code of the
## blog performs some data preprocessing, e.g.
##
##   rattles = 1 - rattles_like_figure
##
##
## Data are (C) 2016 by Michael Höhle <http://www.math.su.se/~hoehle>
## and available under a GPL v3.0 license.
######################################################################
weight		rattles_like_figure	figure
32		1	0
34		0	1
34		1	1
30		1	0
34		1	1
32		1	1
28		0	0
30		1	1
32		1	0
30		1	1
30		1	0
30		0	0
32		1	0
32		1	1
34		0	0
30		1	0
32		1	0
34		0	0
32		1	0
34		1	1
32		1	0
30		1	1
34		1	1
34		1	1
34		1	1
32		1	0
34		1	1
32		1	1
32		1	1
34		0	1
30		1	1
28		1	1
34		1	1
40		0	1
36		1	1
34		1	1
26		1	0
32		1	0
32		1	0
30		1	1
31  		1	0
29		1	1
30		0	0
30		1	0
36		0	0
31		0	1
29		0	0
32		0	0
33		1	0
32		1	1
32		1	0
33		1	1
33		1	1
32		0	1
32		1	0
33		0	0
35		0	0
32		1	0
30		0	1
31		0	0
31		0	0
32		0	0
31		1	0
30		1	0
32		1	0
30		0	1
33		0	0
34		1	0
33		1	0
34		1	0
31		1	0
29		0	0
33		0	0
32		1	0
33		1	0
30		0	0
31		1	1
36		1	1
34		0	1
