"firstname","count","district","sex","strata"
"Marie",111,"charlottenburg-wilmersdorf","f","f-Marie"
"Sophie",105,"charlottenburg-wilmersdorf","f","f-Sophie"
"Charlotte",73,"charlottenburg-wilmersdorf","f","f-Charlotte"
"Emilia",73,"charlottenburg-wilmersdorf","f","f-Emilia"
"Alexander",68,"charlottenburg-wilmersdorf","m","m-Alexander"
"Maria",65,"charlottenburg-wilmersdorf","f","f-Maria"
"Elias",54,"charlottenburg-wilmersdorf","m","m-Elias"
"Noah",54,"charlottenburg-wilmersdorf","m","m-Noah"
"Maximilian",53,"charlottenburg-wilmersdorf","m","m-Maximilian"
"Paul",51,"charlottenburg-wilmersdorf","m","m-Paul"
"Johanna",50,"charlottenburg-wilmersdorf","f","f-Johanna"
"Luise",49,"charlottenburg-wilmersdorf","f","f-Luise"
"Felix",47,"charlottenburg-wilmersdorf","m","m-Felix"
"Sophia",47,"charlottenburg-wilmersdorf","f","f-Sophia"
"Elisabeth",45,"charlottenburg-wilmersdorf","f","f-Elisabeth"
"Ali",41,"charlottenburg-wilmersdorf","m","m-Ali"
"Leon",38,"charlottenburg-wilmersdorf","m","m-Leon"
"Mia",38,"charlottenburg-wilmersdorf","f","f-Mia"
"Anton",37,"charlottenburg-wilmersdorf","m","m-Anton"
"Jonathan",37,"charlottenburg-wilmersdorf","m","m-Jonathan"
"Anna",36,"charlottenburg-wilmersdorf","f","f-Anna"
"Emil",35,"charlottenburg-wilmersdorf","m","m-Emil"
"Johann",33,"charlottenburg-wilmersdorf","m","m-Johann"
"Clara",33,"charlottenburg-wilmersdorf","f","f-Clara"
"David",32,"charlottenburg-wilmersdorf","m","m-David"
"Jakob",32,"charlottenburg-wilmersdorf","m","m-Jakob"
"Theodor",32,"charlottenburg-wilmersdorf","m","m-Theodor"
"Luisa",31,"charlottenburg-wilmersdorf","f","f-Luisa"
"Julian",31,"charlottenburg-wilmersdorf","m","m-Julian"
"Leonard",31,"charlottenburg-wilmersdorf","m","m-Leonard"
"Ida",30,"charlottenburg-wilmersdorf","f","f-Ida"
"Mila",30,"charlottenburg-wilmersdorf","f","f-Mila"
"Oskar",30,"charlottenburg-wilmersdorf","m","m-Oskar"
"Emma",29,"charlottenburg-wilmersdorf","f","f-Emma"
"Friedrich",29,"charlottenburg-wilmersdorf","m","m-Friedrich"
"Karl",29,"charlottenburg-wilmersdorf","m","m-Karl"
"Helena",27,"charlottenburg-wilmersdorf","f","f-Helena"
"Adam",27,"charlottenburg-wilmersdorf","m","m-Adam"
"Jonas",27,"charlottenburg-wilmersdorf","m","m-Jonas"
"Konstantin",27,"charlottenburg-wilmersdorf","m","m-Konstantin"
"Julius",26,"charlottenburg-wilmersdorf","m","m-Julius"
"Liam",26,"charlottenburg-wilmersdorf","m","m-Liam"
"Lina",25,"charlottenburg-wilmersdorf","f","f-Lina"
"Henri",25,"charlottenburg-wilmersdorf","m","m-Henri"
"Theo",25,"charlottenburg-wilmersdorf","m","m-Theo"
"Lea",24,"charlottenburg-wilmersdorf","f","f-Lea"
"Marlene",24,"charlottenburg-wilmersdorf","f","f-Marlene"
"Benjamin",24,"charlottenburg-wilmersdorf","m","m-Benjamin"
"Moritz",24,"charlottenburg-wilmersdorf","m","m-Moritz"
