GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2019;unter 1 Jahr;108303;128036;38659;19629;6956;20371;59873;12662;73347;169509;37208;7990;34376;16598;24767;16586
31.12.2019;1-Jährige;110182;129004;39023;21068;6968;20366;61182;13184;75062;174584;38432;8152;36009;17556;25787;17573
31.12.2019;2-Jährige;110107;129351;39152;22262;6813;20201;61820;13491;75884;175258;39250;8407;37530;18381;26152;18356
31.12.2019;3-Jährige;109920;128468;39212;23203;6702;20159;62265;13924;76701;176773;39386;8391;38442;18725;26634;18911
31.12.2019;4-Jährige;106552;124081;37188;22551;6589;18850;60365;14230;73973;170311;37989;8094;38065;18496;25897;18912
31.12.2019;5-Jährige;103981;121568;36540;23274;6348;18328;58721;14000;74021;167687;37383;8095;37939;18660;25815;19119
31.12.2019;6-Jährige;100887;118088;34432;22411;5968;17422;56810;13829;70914;160484;35961;7608;36940;18248;25169;18783
31.12.2019;7-Jährige;99521;117114;34416;22985;5877;16979;56583;13913;70534;161172;35402;7745;37118;18379;25554;18677
31.12.2019;8-Jährige;97913;113054;32619;22574;5565;16094;56470;13875;69414;157316;35298;7902;36467;18023;24912;18311
31.12.2019;9-Jährige;100791;114851;32998;23366;5845;16328;57462;14437;71954;161868;35865;7925;36945;18345;26035;18746
31.12.2019;10-Jährige;99871;113220;32376;22708;5908;15973;56646;14106;71271;159796;35115;7849;35843;18113;25661;17920
31.12.2019;11-Jährige;102458;116512;32388;23134;5867;16349;57881;14200;73361;165271;36462;8126;36234;18628;26428;18364
31.12.2019;12-Jährige;102823;116249;31346;22552;6112;15925;57791;13636;73545;164609;36238;8011;35160;17989;26712;17972
31.12.2019;13-Jährige;101527;114072;29940;21544;5917;15657;56564;13247;72898;162966;35487;7940;33485;17255;26263;16936
31.12.2019;14-Jährige;103692;116076;29256;21136;5808;15632;57750;12848;74330;165177;36162;8180;33529;17384;26396;17150
31.12.2019;15-Jährige;105739;118967;29331;21452;5814;15499;58630;13406;77037;169177;36985;8330;33883;17353;27519;17701
31.12.2019;16-Jährige;106140;120236;28253;21310;5991;15375;58280;13172;77535;170955;37662;8304;32796;16874;27763;17236
31.12.2019;17-Jährige;108375;122415;28745;20959;5922;15378;59256;12920;80261;175207;38429;8641;32354;17418;28446;17212
31.12.2019;18-Jährige;112609;126824;29484;20454;6727;16198;61249;13335;83304;181197;40235;8997;33160;17626;29475;17640
31.12.2019;19-Jährige;121907;136543;32585;20762;7453;17942;65788;13904;88093;192834;43045;9527;35739;18600;31344;18020
31.12.2019;20-Jährige;127010;143560;34855;19891;8430;19030;68216;13293;89309;197871;43844;9849;35621;18331;31922;17837
31.12.2019;21-Jährige;131602;150868;37313;18980;8958;20824;71507;12941;91279;205148;45105;9996;34482;17776;31463;17660
31.12.2019;22-Jährige;138085;157436;40880;18029;9177;23279;76372;13011;94909;215432;47530;10680;34822;18067;32156;17781
31.12.2019;23-Jährige;137969;157695;43424;17380;9244;24202;75466;12354;93387;215880;46923;10847;33961;17190;31750;16919
31.12.2019;24-Jährige;137031;157340;45543;15820;9201;24837;74859;11320;91507;212801;45806;10671;32035;16036;30751;15865
31.12.2019;25-Jährige;139159;160229;48584;15172;9372;26436;76206;10648;92334;217630;47169;11021;31407;15497;31284;14884
31.12.2019;26-Jährige;143483;167779;51682;15087;9755;27797;78050;10924;94396;224658;48825;11380;31869;15605;31639;15213
31.12.2019;27-Jährige;144906;171120;54205;16278;9710;28762;78890;12007;94087;227050;49538;11748;32933;16373;31940;15968
31.12.2019;28-Jährige;148529;175015;58205;18449;9993;30399;81133;13284;95162;231419;50667;11916;37470;18126;32636;17911
31.12.2019;29-Jährige;155140;183943;67459;27205;10257;32645;85460;19396;99674;239911;52254;12310;52581;25758;34421;25054
31.12.2019;30-Jährige;151798;179016;68362;29049;10152;32199;84513;20447;97518;232661;51256;12010;54302;26696;33638;25610
31.12.2019;31-Jährige;154599;182834;69081;30712;10262;32560;85303;21389;99932;236544;52492;12329;55700;27740;34701;27404
31.12.2019;32-Jährige;148577;177465;67582;31586;9810;31316;82789;21796;97857;231041;50995;12113;56658;27687;34065;27673
31.12.2019;33-Jährige;147540;175914;65234;31216;9494;30360;81531;21073;95950;226744;50393;11928;54193;26981;33237;26912
31.12.2019;34-Jährige;142610;169006;63302;31942;9130;29328;78552;20864;92506;218257;48325;11312;54349;26723;32227;26768
31.12.2019;35-Jährige;141938;168782;60957;31557;8784;28871;79375;20526;91488;217076;48492;11259;53127;26744;32258;26852
31.12.2019;36-Jährige;140597;169749;59410;31921;8985;28314;78795;20639;92475;217526;48585;11388;53503;26937;32931;27007
31.12.2019;37-Jährige;143812;173777;58767;32695;9086;28270;81405;20915;94145;222393;49901;11677;53954;26634;34130;27607
31.12.2019;38-Jährige;142800;172750;57315;32348;8646;28277;81081;20225;94359;220384;50142;11517;52403;26363;34086;26783
31.12.2019;39-Jährige;143651;171513;55863;33491;8498;28077;81676;20662;95075;221629;49123;11589;53594;26983;34816;27475
31.12.2019;40-Jährige;135094;164369;51679;32225;8090;26093;78433;20189;90970;209855;47334;10995;51338;25743;33132;26279
31.12.2019;41-Jährige;132060;161664;49404;32247;8008;25462;77552;19937;90641;207324;46715;10629;51384;25632;33287;25482
31.12.2019;42-Jährige;131277;160767;47962;31093;7896;24914;76575;19365;89999;207803;46295;10773;50193;24688;33040;24983
31.12.2019;43-Jährige;131733;159339;45750;28394;7940;24676;76671;16975;90438;208381;45747;10309;44668;22041;33381;22442
31.12.2019;44-Jährige;129347;156353;43608;27055;7871;23409;74722;16072;88302;203431;45050;10118;42618;21072;32645;21599
31.12.2019;45-Jährige;132301;158673;42519;26407;7699;23428;75982;15768;91105;206117;45419;10330;42123;21695;32610;22286
31.12.2019;46-Jährige;131494;157982;41179;26979;7782;22834;76197;16241;92897;208552;46390;10385;42470;22592;33749;23106
31.12.2019;47-Jährige;141772;170034;42689;29896;8224;23740;81291;17719;101419;225045;50494;11437;46506;25950;36665;25916
31.12.2019;48-Jährige;152155;183415;46872;34974;8783;25072;87631;20435;111402;245946;55135;12673;54184;30685;41097;29131
31.12.2019;49-Jährige;157959;190138;47361;35580;9107;25669;91444;20908;116564;256422;57734;13086;54119;30985;42867;29737
31.12.2019;50-Jährige;168962;204876;49390;36965;9740;26629;97678;21701;126324;280518;62542;14594;54457;32006;47543;30020
31.12.2019;51-Jährige;176161;213169;51658;39086;10302;28521;102234;23200;132447;293277;66098;15633;55371;32830;50424;30549
31.12.2019;52-Jährige;179588;217884;51920;41256;10348;28645;103653;24197;136489;299498;67759;16176;57214;34279;52252;31612
31.12.2019;53-Jährige;183113;218937;53926;44229;10665;28851;105478;26143;138623;306071;70330;16836;60493;35660;52463;33790
31.12.2019;54-Jährige;181855;216814;55392;46057;10688;27767;105423;27705;137046;304004;70352;17174;62869;37356;51589;34861
31.12.2019;55-Jährige;184138;219750;56109;47839;10561;28116;105842;29087;137831;307234;71748;17612;65391;38840;52016;36718
31.12.2019;56-Jährige;181261;216107;55763;49232;10304;26807;103650;30276;135381;300711;71587;17658;66116;40140;50406;37543
