Date,"[00,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)","[80,90)","[90,100)",100+
2020-09-01,1,2,10,24,81,336,901,2090,4109,1692,52
2020-09-08,1,1,10,25,81,340,908,2099,4115,1693,52
2020-09-15,1,1,10,25,82,344,911,2110,4124,1698,52
2020-09-22,1,1,10,26,82,347,914,2120,4137,1702,52
2020-09-29,1,1,10,26,83,349,923,2138,4164,1719,53
2020-10-06,1,1,10,27,84,358,924,2149,4204,1731,53
2020-10-13,2,2,11,26,84,361,935,2175,4232,1749,53
2020-10-20,3,2,12,28,85,368,947,2212,4338,1783,53
2020-10-27,2,2,14,28,87,371,974,2263,4451,1843,55
2020-11-03,3,3,14,30,97,387,1010,2369,4701,1981,59
2020-11-10,4,2,16,32,101,411,1072,2535,5090,2168,67
2020-11-17,3,3,14,36,113,444,1151,2779,5730,2451,77
2020-11-24,3,3,18,40,130,483,1270,3082,6455,2773,89
2020-12-01,6,4,20,42,146,540,1435,3546,7454,3419,0
2020-12-08,7,3,24,46,153,595,1635,4047,8738,4066,0
2020-12-15,8,4,27,50,174,667,1842,4646,10260,4757,0
2020-12-22,12,5,28,64,197,761,2157,5468,12411,5861,0
