GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2015;unter 1 Jahr;101417;118832;37867;19584;6447;19521;57433;13461;68045;162430;35387;7608;36888;17793;23781;18227
31.12.2015;1-Jährige;99912;117017;37382;20714;6338;18760;56303;13279;69445;161187;34976;7586;37043;17846;23782;18508
31.12.2015;2-Jährige;96971;114022;35075;20144;5843;17661;54505;13209;67120;154524;34039;7175;36148;17670;23263;18239
31.12.2015;3-Jährige;95706;112941;34882;20810;5750;16951;54325;13391;66819;155104;33678;7266;36285;17790;23848;18211
31.12.2015;4-Jährige;94410;109447;32946;20662;5417;15970;54174;13276;66000;151458;33710;7477;35723;17494;23189;18029
31.12.2015;5-Jährige;97123;111065;33056;21571;5698;16203;54943;13978;68400;156020;34289;7461;36293;17868;24489;18406
31.12.2015;6-Jährige;96126;109365;31939;21319;5669;15716;54029;13722;67846;153569;33563;7348;35167;17653;24043;17642
31.12.2015;7-Jährige;98522;112333;31887;21914;5645;15911;55355;13742;69938;158952;34882;7612;35478;18240;24825;18130
31.12.2015;8-Jährige;99123;112429;30916;21412;5830;15607;55404;13272;70318;158770;34841;7553;34547;17541;25239;17650
31.12.2015;9-Jährige;97973;110271;29360;20514;5656;15202;54289;12872;69885;157582;34109;7514;32912;16869;24860;16649
31.12.2015;10-Jährige;100143;112442;28536;20270;5540;15249;55592;12523;71564;160073;34900;7786;33010;17100;25021;16950
31.12.2015;11-Jährige;102419;115352;28589;20601;5522;15088;56337;13101;74403;164490;35809;7914;33268;17068;26271;17466
31.12.2015;12-Jährige;102907;116500;27359;20539;5603;14711;56054;12855;74812;165961;36439;7923;32181;16581;26541;17015
31.12.2015;13-Jährige;104999;118664;27271;20238;5561;14559;56969;12619;77573;169577;37118;8266;31596;17113;27210;16958
31.12.2015;14-Jährige;107522;121837;27066;20161;5891;14747;58476;12894;80596;174167;38519;8594;31685;17309;28173;17360
31.12.2015;15-Jährige;113265;128397;27712;21241;6133;15257;61453;13143;84936;182964;40678;9073;32782;17810;29882;17489
31.12.2015;16-Jährige;115527;132556;27213;20910;6434;15520;62451;12606;85971;185148;41319;9453;31225;17336;30604;17021
31.12.2015;17-Jährige;119220;137301;27551;20354;6832;16141;64138;12309;88649;191493;43008;9734;29921;16772;30822;16797
31.12.2015;18-Jährige;126665;141935;28964;19723;7049;17185;68304;12585;93101;203976;46159;10543;30261;17070;32583;17068
31.12.2015;19-Jährige;127979;142313;30387;18317;7335;17951;67920;12177;91717;204105;45772;10636;30200;16794;32407;16232
31.12.2015;20-Jährige;128729;143351;32494;16429;7582;18146;67531;11280;90188;202649;44854;10295;29135;16082;30668;15446
31.12.2015;21-Jährige;131367;147364;34648;15225;8141;19860;69649;10651;90827;208131;46043;10682;28937;15839;30752;14798
31.12.2015;22-Jährige;135895;155642;37182;14767;8717;21099;71847;11003;92936;216883;48029;11280;29804;16185;31351;15435
31.12.2015;23-Jährige;137890;158687;40826;15420;9072;22632;73262;12009;92793;220159;49030;11569;31847;17370;31324;16693
31.12.2015;24-Jährige;141956;163683;45326;17661;9560;24791;76212;13658;93882;225862;50002;12022;37049;19199;32032;18572
31.12.2015;25-Jährige;149609;173123;56233;25920;10087;27751;81056;20047;98463;235525;51834;12391;52540;26966;33559;26404
31.12.2015;26-Jährige;146200;169632;59825;27111;10115;28371;80804;20649;95549;228425;50237;12032;54217;27464;32258;26718
31.12.2015;27-Jährige;149374;174214;62883;28219;10447;30343;82226;21430;97825;233459;51314;12302;55386;28370;33131;28154
31.12.2015;28-Jährige;143883;169688;63365;28802;10006;30170;80162;21732;95396;227750;49660;12119;56334;28048;32223;28113
31.12.2015;29-Jährige;143143;169329;62662;28201;9802;30101;79165;20789;93097;224070;48637;12048;53547;26962;31205;27280
31.12.2015;30-Jährige;138310;162833;61313;28943;9347;29365;76387;20640;89698;215686;46630;11335;53988;26674;30223;26911
31.12.2015;31-Jährige;137770;163365;60049;28614;9079;29588;77598;20130;88675;214080;46665;11218;52841;26658;30221;26863
31.12.2015;32-Jährige;137194;164672;59181;29004;9312;29354;77034;20238;89646;214736;46850;11402;53034;26860;30758;26999
31.12.2015;33-Jährige;140365;169071;59422;29875;9383;29493;79723;20499;91626;220166;48210;11575;53680;26469;32195;27468
31.12.2015;34-Jährige;139652;168707;58051;29633;8772;29596;79453;19727;91947;218161;48367;11465;51938;26212;32301;26687
31.12.2015;35-Jährige;140381;168001;56985;31001;8739;29185;79971;20226;92586;219393;47678;11443;52945;26840;33084;27507
31.12.2015;36-Jährige;132219;160740;52910;30058;8251;27160;77070;19603;88641;208010;45879;10828;50953;25631;31557;26175
31.12.2015;37-Jährige;129262;158360;50340;30230;8012;26351;76173;19555;88356;205630;45251;10503;51057;25626;31753;25351
31.12.2015;38-Jährige;128783;157801;48636;29396;7972;25713;75352;18938;88037;206311;44919;10680;49636;24610;31780;24964
31.12.2015;39-Jährige;129013;155764;46471;26909;8056;25279;75457;16581;88624;207124;44426;10249;44346;22067;32028;22362
31.12.2015;40-Jährige;126748;153489;44169;25818;7861;23839;73601;15650;86913;202100;44030;10012;42349;21026;31444;21404
31.12.2015;41-Jährige;129771;155844;42899;25391;7677;23837;74945;15444;89696;205182;44573;10212;41707;21655;31707;22254
31.12.2015;42-Jährige;129280;155332;41688;26003;7837;23138;75375;15844;91775;208032;45460;10251;42272;22559;32880;22958
31.12.2015;43-Jährige;140011;168092;43284;29067;8276;24150;80591;17442;100466;224937;49589;11362;46363;25904;35832;25905
31.12.2015;44-Jährige;150908;181826;47470;34193;8849;25487;87203;20236;110709;246174;54627;12619;54191;30845;40350;29199
31.12.2015;45-Jährige;156763;188966;48173;34792;9168;26150;91063;20621;116198;257727;57316;13056;54232;31078;42238;29789
31.12.2015;46-Jährige;168329;204263;50301;36400;9813;27328;97973;21489;126067;282505;62205;14648;54530;32198;46933;30111
31.12.2015;47-Jährige;176119;212802;52763;38506;10408;29179;102594;22939;132572;295568;65938;15666;55713;33099;50060;30740
31.12.2015;48-Jährige;179934;217956;53022;40881;10516;29478;104301;24127;136773;303020;67785;16240;57519;34611;51923;31884
31.12.2015;49-Jährige;184042;219940;55293;43861;10817;29622;106466;26037;139514;310157;70395;16978;61044;36144;52233;34102
31.12.2015;50-Jährige;183231;218597;56890;45952;10837;28576;106577;27685;137860;308791;70628;17313;63490;37803;51357;35325
31.12.2015;51-Jährige;186051;221503;57783;47861;10781;28908;107309;29160;138951;312748;72207;17834;66260;39527;52016;37318
31.12.2015;52-Jährige;183675;218410;57444;49489;10552;27760;105514;30469;136873;306626;72138;17928;67158;40915;50396;38163
31.12.2015;53-Jährige;177522;211551;54687;49056;10344;25865;101219;30414;132183;294011;70360;17816;65985;40443;48177;37767
31.12.2015;54-Jährige;174144;208531;51936;48425;9871;24697;98692;30805;130658;288711;69981;18020;65839;40468;46948;39000
31.12.2015;55-Jährige;168746;199534;49583;46555;9586;24029;94989;30155;125009;281837;67675;17303;63246;39339;44653;37157
31.12.2015;56-Jährige;161653;192962;47425;45524;9371;22777;92145;29344;121307;274393;65476;17589;62777;38467;43448;37108
31.12.2015;57-Jährige;153551;183147;43530;41702;9020;21578;87343;27682;114141;260122;61986;16866;58024;36143;40787;34522
31.12.2015;58-Jährige;148997;177365;41825;40566;8964;20622;85075;26917;111768;253996;61272;16230;57734;35592;39678;34311
31.12.2015;59-Jährige;144893;170189;40925;40303;8471;19626;81862;26971;107298;244417;58616;15571;58689;36066;37457;35068
31.12.2015;60-Jährige;137030;160662;40396;40438;8236;18614;78296;27212;103073;234423;56643;14817;60612;36851;36377;35216
31.12.2015;61-Jährige;132394;156514;39820;39740;8026;18054;76455;27054;100889;228963;55559;14983;59944;36072;36069;34561
31.12.2015;62-Jährige;126733;150116;38982;39062;7693;17121;72756;26503;97273;217394;53886;14621;60285;36134;34660;34424
31.12.2015;63-Jährige;126272;150331;38218;38032;7672;17330;73213;25758;97941;214293;53362;14276;61212;35848;34400;34097
31.12.2015;64-Jährige;122094;145210;38630;36942;7709;16976;71619;24907;96400;206575;52175;13796;62485;34212;34583;33852
31.12.2015;65-Jährige;122352;146170;40142;34549;7645;17412;73211;23158;96670;205467;52586;13946;59890;33465;34821;32060
31.12.2015;66-Jährige;119744;142314;37401;29349;7667;17357;72529;19926;95319;204304;50680;14215;52305;29706;34675;28452
31.12.2015;67-Jährige;109983;135241;34132;25242;7144;16806;67833;17154;87799;186045;43700;12180;41778;25067;33844;24507
31.12.2015;68-Jährige;101842;131649;31888;24009;6830;16123;63298;15927;79953;170705;38558;9845;41622;24350;31330;23278
31.12.2015;69-Jährige;88722;115840;24771;16131;6696;14883;54012;10507;74193;155618;34306;7983;31167;19569;29286;19051
31.12.2015;70-Jährige;75832;92828;27846;19095;5340;13182;44688;11251;58496;130306;28567;7337;36609;19833;24072;17852
31.12.2015;71-Jährige;98275;119693;36362;28250;6619;16585;59203;16733;77817;168122;37297;9855;53011;27572;31706;25714
31.12.2015;72-Jährige;98643;118997;38162;30034;6824;16605;58294;18109;79705;167395;36954;9515;52056;28176;32539;25817
31.12.2015;73-Jährige;96435;114473;35835;28984;6752;15984;54993;17431;76514;161250;35706;9324;47805;27809;31041;23988
31.12.2015;74-Jährige;114984;138063;40952;35580;7521;18203;65488;21933;92182;190564;43993;11856;58970;33457;37009;30341
31.12.2015;75-Jährige;119156;144889;38652;35164;7780;18382;69174;21852;94635;202574;47028;12237;59780;33785;36966;32261
31.12.2015;76-Jährige;115841;140821;35599;33715;7410;17419;66410;21837;91382;196275;45572;12301;57434;32184;35943;30815
31.12.2015;77-Jährige;106221;124841;32379;30216;7008;16090;59643;19895;85455;181663;41730;11158;51286;28413;33054;26383
31.12.2015;78-Jährige;96182;111378;29814;27386;6350;14883;54372;17703;76725;167036;38161;10923;45549;25746;29508;23544
31.12.2015;79-Jährige;90264;102908;27513;25721;6001;13885;51122;16633;70553;155880;36114;10527;43529;24066;27018;22196
31.12.2015;80-Jährige;83173;93928;25631;24220;5431;13068;46857;15576;65093;145054;33249;9179;41763;22417;24643;20374
31.12.2015;81-Jährige;72157;83303;22863;21138;4789;10859;41435;13871;56963;130289;29314;7607;36822;19867;21305;18093
31.12.2015;82-Jährige;57566;66587;15533;15309;3457;8001;31749;10546;42508;97596;22538;6284;27347;14901;15077;13414
31.12.2015;83-Jährige;53548;63071;13814;14384;3286;7297;29298;9991;39988;91741;21110;6052;25093;13962;13741;12748
31.12.2015;84-Jährige;50617;58481;13222;13205;3112;7105;27770;8945;38493;87140;20282;5714;24438;13085;13178;11757
31.12.2015;85-Jährige;48515;55936;12794;12709;3005;7013;27363;8275;37134;85333;19629;5210;24301;12503;12462;11624
31.12.2015;86-Jährige;42951;49468;11460;10899;2729;6379;24470;7096;32621;75323;17424;4627;21769;10878;11196;9897
31.12.2015;87-Jährige;38092;43921;9799;9316;2519;5863;21770;5969;29378;66841;15573;4052;18717;9495;10200;8900
31.12.2015;88-Jährige;31494;37035;8108;7423;2135;4782;18326;4809;25016;55352;13019;3428;15074;7538;8532;7176
31.12.2015;89-Jährige;27306;32125;7223;6113;1804;4256;16105;3906;21121;47022;11320;2804;13326;6254;7254;6116
31.12.2015;90 Jahre und mehr;91908;107376;26240;19710;6635;15987;54997;12065;72649;154159;36801;9471;43923;20524;26472;19174
